Description,Date,Earned,Paid,Category,Destination,Source,Net,,Balance,Involved
Kamp Klamath Campground,6/24/2022,,$42.84,Travel,,Apple Card,-$42.84,,,Apple Card
Cinemark Buzz Lightyear Movie,6/24/2022,,$23.00,Travel,,Apple Card,-$23.00,,,Apple Card
Indian Flat Campground,6/24/2022,,$32.00,Travel,,Apple Card,-$32.00,,,Apple Card
Walmart Date,6/24/2022,,$28.01,Groceries,,Apple Card,-$28.01,,,Apple Card
National Parks Pass Shipping,6/24/2022,,$6.71,Travel,,Apple Card,-$6.71,,,Apple Card
Kawea Campground,6/24/2022,,$25.00,Travel,,Discover,-$25.00,,,Discover
High Sierra Campsite,6/25/2022,,$32.00,Travel,,Apple Card,-$32.00,,,Apple Card
Moraine Campground,6/25/2022,,$22.00,Travel,,Apple Card,-$22.00,,,Apple Card
Gerstle Cove,6/25/2022,,$42.99,Travel,,Apple Card,-$42.99,,,Apple Card
North Rim Campground,6/25/2022,,$18.00,Travel,,Apple Card,-$18.00,,,Apple Card
Shipping for M Phone,6/25/2022,,$56.00,Tech,,Checking,-$56.00,,,Checking
Hiking Boots,6/26/2022,,$240.72,Clothes,,Apple Card,-$240.72,,,Apple Card
Midas Oil Change,6/26/2022,,$47.31,Transportation,,Apple Card,-$47.31,,,Apple Card
Amazon Camping Supplies,6/27/2022,,$131.94,Travel,,Apple Card,-$131.94,,,Apple Card
Amazon Camping Supplies,6/28/2022,,$91.96,Travel,,Apple Card,-$91.96,,,Apple Card
Walmart Camping Supplies,6/28/2022,,$236.52,Travel,,Apple Card,-$236.52,,,Apple Card
Amazon Camping Supplies,6/28/2022,,$129.80,Travel,,Apple Card,-$129.80,,,Apple Card
Amazon Camping Supplies,6/28/2022,,$408.62,Travel,,Apple Card,-$408.62,,,Apple Card
The Chicken and the Pickle,6/29/2022,,$27.52,Food,,Discover,-$27.52,,,Discover
Indiana Gas,6/29/2022,,$46.17,Transportation,,Apple Card,-$46.17,,,Apple Card
Walgreens Chapstick,6/29/2022,,$3.20,Health,,Apple Card,-$3.20,,,Apple Card
Subway Dinner,6/29/2022,,$5.35,Food,,Apple Card,-$5.35,,,Apple Card
Amazon Tenting Poles Refund,6/29/2022,$48.13,$49.15,Travel,Apple Card,Apple Card,-$1.02,,,Apple CardApple Card
Walmart Change,6/30/2022,,$1.18,Groceries,,Discover,-$1.18,,,Discover
Kansas Gas 2,6/30/2022,,$47.51,Travel,,Discover,-$47.51,,,Discover
Kans Gas 1,6/30/2022,,$50.26,Travel,,Discover,-$50.26,,,Discover
Apple Card Payment,6/30/2022,$2000.00,$2000.00,Misc,Apple Card,Checking,$0.00,,,Apple CardChecking
Colorado Springs Walmart,6/30/2022,,$101.00,Groceries,,Cash,-$101.00,,,Cash
Walmart Change,7/1/2022,,$1.53,Groceries,,Discover,-$1.53,,,Discover
Overdraft Transfer,7/1/2022,$1600.00,$1600.00,Misc,Checking,Savings,$0.00,,,CheckingSavings
Optiver Relocation Bonus,7/1/2022,$5000.00,,Work,Savings,,$5000.00,,,Savings
Denver Walmart Iphone Case,7/1/2022,,$20.00,Tech,,Cash,-$20.00,,,Cash
Missouri Gas,7/2/2022,,$51.26,Travel,,Apple Card,-$51.26,,,Apple Card
Colorado Gas,7/4/2022,,$46.53,Travel,,Apple Card,-$46.53,,,Apple Card
Tetons Firewood,7/4/2022,,$9.21,Travel,,Apple Card,-$9.21,,,Apple Card
Tetons Ice,7/4/2022,,$3.99,Travel,,Apple Card,-$3.99,,,Apple Card
Oregon Gas 2,7/5/2022,,$48.63,Travel,,Discover,-$48.63,,,Discover
Yosemite Firewood,7/5/2022,,$3.64,Gift,,Apple Card,-$3.64,,,Apple Card
Wyoming Gas,7/5/2022,,$51.67,Travel,,Apple Card,-$51.67,,,Apple Card
Yellowstone Postcards,7/5/2022,,$2.10,Travel,,Apple Card,-$2.10,,,Apple Card
Panda Express,7/6/2022,,$11.13,Food,,Apple Card,-$11.13,,,Apple Card
Gas,7/6/2022,,$57.99,Travel,,Apple Card,-$57.99,,,Apple Card
Montana Gas,7/6/2022,,$55.47,Travel,,Apple Card,-$55.47,,,Apple Card
Bridesmaid Dress,7/6/2022,,$83.99,Gift,,Apple Card,-$83.99,,,Apple Card
Liberty Mutual Car Insurance,7/6/2022,,$49.42,Transportation,,Checking,-$49.42,,,Checking
Safeway Caffeine,7/7/2022,,$2.29,Food,,Apple Card,-$2.29,,,Apple Card
La Pine Hotel,7/7/2022,,$90.06,Travel,,Apple Card,-$90.06,,,Apple Card
White Water Rafting,7/7/2022,,$87.07,Travel,,Apple Card,-$87.07,,,Apple Card
CA Walmart,7/7/2022,,$40.00,Groceries,,Cash,-$40.00,,,Cash
California Gas 1,7/8/2022,,$66.72,Travel,,Apple Card,-$66.72,,,Apple Card
Denny's Dinner,7/8/2022,,$41.83,Food,,Apple Card,-$41.83,,,Apple Card
Pigeon River Campground,7/8/2022,,$27.66,Travel,,Apple Card,-$27.66,,,Apple Card
Yellowstone Donation,7/8/2022,,$5.00,Tithe (Legal),,Apple Card,-$5.00,,,Apple Card
Yosemite Wifi,7/9/2022,,$9.99,Travel,,Apple Card,-$9.99,,,Apple Card
Yosemite Firewood,7/9/2022,,$10.23,Food,,Apple Card,-$10.23,,,Apple Card
Yosemite Gas,7/9/2022,,$50.00,Travel,,Cash,-$50.00,,,Cash
Laundry Yosemite ,7/9/2022,,$3.25,Travel,,Cash,-$3.25,,,Cash
Spotify,7/10/2022,,$4.99,Entertainment,,M Discover,-$4.99,,,M Discover
Interest Paid,7/10/2022,$0.03,,Interest,Checking,,$0.03,,,Checking
Interest Paid,7/10/2022,$8.49,,Interest,Savings,,$8.49,,,Savings
California Gas 2,7/10/2022,,$51.76,Travel,,Apple Card,-$51.76,,,Apple Card
Transfer,7/11/2022,$300.00,$300.00,Misc,Checking,Savings,$0.00,,,CheckingSavings
Illinois Toll,7/11/2022,,$1.10,Travel,,Apple Card,-$1.10,,,Apple Card
Subway,7/11/2022,,$13.77,Food,,Apple Card,-$13.77,,,Apple Card
Lemonade Renters Insurance,7/12/2022,,$130.00,Housing,,Apple Card,-$130.00,,,Apple Card
Urban Light Tithe,7/13/2022,,$40.00,Tithe (Legal),,Discover,-$40.00,,,Discover
Arizona Gas 2,7/14/2022,,$52.56,Travel,,Apple Card,-$52.56,,,Apple Card
Utah Walmart,7/14/2022,,$54.00,Groceries,,Cash,-$54.00,,,Cash
Discover Payment,7/15/2022,$620.92,$620.92,Misc,Discover,Savings,$0.00,,,DiscoverSavings
Horseshoe Bend,7/15/2022,,$10.00,Travel,,Cash,-$10.00,,,Cash
Jack in the Box,7/16/2022,,$16.15,Food,,Discover,-$16.15,,,Discover
Texas Roadhouse,7/16/2022,,$50.00,Food,,Apple Card,-$50.00,,,Apple Card
Great Smokeys Backpacking Permit,7/16/2022,,$32.00,Travel,,Apple Card,-$32.00,,,Apple Card
New Mexico Gas,7/17/2022,,$40.10,Travel,,Apple Card,-$40.10,,,Apple Card
Arizona Gas 3,7/17/2022,,$57.29,Travel,,Apple Card,-$57.29,,,Apple Card
Budget Inn New Mexico,7/18/2022,,$56.69,Travel,,Apple Card,-$56.69,,,Apple Card
Lake Powell Canyon Inn AZ,7/18/2022,,$75.00,Travel,,Apple Card,-$75.00,,,Apple Card
Mamas Dinner,7/18/2022,,$27.00,Food,,Discover,-$27.00,,,Discover
Texas Gas,7/18/2022,,$42.74,Travel,,Apple Card,-$42.74,,,Apple Card
Wade Cox Gift,7/18/2022,$20.00,,Gift,Cash,,$20.00,,,Cash
Shake at Thor Movie,7/19/2022,,$8.84,Food,,Discover,-$8.84,,,Discover
Thor Movie Tickets,7/19/2022,,$18.00,Entertainment,,Checking,-$18.00,,,Checking
Esta Bought by Abigail,7/19/2022,$300.00,,Work,Checking,,$300.00,,,Checking
Tim Wedding Tux,7/19/2022,,$226.84,Clothes,,Apple Card,-$226.84,,,Apple Card
Smokey Mountains License ,7/19/2022,,$25.00,Travel,,Apple Card,-$25.00,,,Apple Card
Autozone Coolant,7/20/2022,$24.11,$37.32,Transportation,Apple Card,Apple Card,-$13.21,,,Apple CardApple Card
Texas Gas,7/20/2022,,$42.70,Travel,,Apple Card,-$42.70,,,Apple Card
Autozone Washer Pump,7/20/2022,,$64.94,Transportation,,Apple Card,-$64.94,,,Apple Card
Tennessee Gas,7/21/2022,,$41.55,Travel,,Discover,-$41.55,,,Discover
Backpacking Groceries,7/21/2022,,$50.81,Transportation,,Apple Card,-$50.81,,,Apple Card
Dinner with Graeson,7/21/2022,,$24.54,Food,,Apple Card,-$24.54,,,Apple Card
Subscription Acorns,7/21/2022,,$1.00,Investments,,Checking,-$1.00,,,Checking
Graeson Suit Deposit,7/21/2022,,$20.00,Clothes,,Checking,-$20.00,,,Checking
TODO: Amazon Dialators,7/21/2022,,$28.99,Health,,Gift Card,-$28.99,,,Gift Card
Panera Bread,7/22/2022,,$25.31,Food,,Discover,-$25.31,,,Discover
Arkansas Walmart,7/22/2022,,$13.50,Groceries,,Apple Card,-$13.50,,,Apple Card
Arkansas Gas,7/22/2022,,$38.60,Travel,,Apple Card,-$38.60,,,Apple Card
Spotify,7/23/2022,,$4.99,Entertainment,,Discover,-$4.99,,,Discover
Swanson Parents Gift,7/26/2022,$200.00,,Gift,Checking,,$200.00,,,Checking
Transfer,7/26/2022,$1000.00,$1000.00,Misc,Checking,Savings,$0.00,,,CheckingSavings
Smokeys Laundry,7/26/2022,,$4.50,Housing,,Cash,-$4.50,,,Cash
Tennessee Gas,7/27/2022,,$37.37,Travel,,Discover,-$37.37,,,Discover
Gatlinburg Hotel,7/27/2022,,$44.64,Travel,,Apple Card,-$44.64,,,Apple Card
Medical Supplies,7/27/2022,,$8.45,Health,,Apple Card,-$8.45,,,Apple Card
Niagra Falls Camp,7/27/2022,,$40.00,Travel,,Apple Card,-$40.00,,,Apple Card
Ford Focus Bearing Work,7/27/2022,,$434.70,Transportation,,Checking,-$434.70,,,Checking
Supreme Bagels,7/28/2022,,$13.27,Food,,Discover,-$13.27,,,Discover
TODO: M Phone Case 1,7/28/2022,,$19.71,Groceries,,Apple Card,-$19.71,,,Apple Card
Pizza Dinner,7/28/2022,,$16.84,Food,,Apple Card,-$16.84,,,Apple Card
Maryland Gas,7/28/2022,,$41.06,Travel,,Apple Card,-$41.06,,,Apple Card
Chick-fil-A,7/28/2022,,$14.98,Food,,Apple Card,-$14.98,,,Apple Card
M Phone Case 2,7/28/2022,,$32.05,Groceries,,Apple Card,-$32.05,,,Apple Card
Table Lazy Susan Bearing,7/28/2022,$53.01,$144.79,Furnishing,Apple Card,Apple Card,-$91.78,,,Apple CardApple Card
TODO: M Phone Case 1,7/28/2022,,$14.14,Tech,,Gift Card,-$14.14,,,Gift Card
New Jersey Ice Crem,7/28/2022,,$12.00,Food,,Cash,-$12.00,,,Cash
NY Vietnamese Dinner,7/29/2022,$5.00,$35.68,Food,Checking,Discover,-$30.68,,,CheckingDiscover
Rulli Chicago Night,7/30/2022,$180.00,$179.38,Misc,Checking,Discover,$0.62,,,CheckingDiscover
Daily Cash Adjustment,7/30/2022,,$1.17,Rewards,,Apple Card,-$1.17,,,Apple Card
NY Transit,7/30/2022,,$11.00,Transportation,,Apple Card,-$11.00,,,Apple Card
Apple Card Payment,7/31/2022,$1473.85,$1473.85,Misc,Apple Card,Savings,$0.00,,,Apple CardSavings
Ellie Wedding Gift ,8/1/2022,$50.00,,Wedding,Cash,,$50.00,,,Cash
Niagra Gas,8/2/2022,,$30.44,Travel,,Discover,-$30.44,,,Discover
Connecticut Gas,8/2/2022,,$44.20,Travel,,Apple Card,-$44.20,,,Apple Card
Panera Lunch w/ Taylor Friends,8/2/2022,,$24.17,Food,,Checking,-$24.17,,,Checking
Travel Chocolate,8/3/2022,,$4.99,Food,,Discover,-$4.99,,,Discover
Niagra Parking,8/3/2022,,$2.60,Transportation,,Discover,-$2.60,,,Discover
Taco Bell Dinner,8/3/2022,,$6.76,Food,,Discover,-$6.76,,,Discover
Ohio Tolls,8/3/2022,,$5.75,Transportation,,Discover,-$5.75,,,Discover
USA-Canada Bridge Tolls,8/3/2022,,$11.00,Transportation,,Cash,-$11.00,,,Cash
Indiana Tolls,8/3/2022,,$5.40,Transportation,,Cash,-$5.40,,,Cash
Liberty Mutual Car Insurance,8/4/2022,,$49.42,Transportation,,Checking,-$49.42,,,Checking
New York Gas,8/4/2022,,$46.36,Transportation,,Apple Card,-$46.36,,,Apple Card
Great Lakes Meuseum,8/4/2022,,$34.00,Entertainment,,Apple Card,-$34.00,,,Apple Card
Indiana Gas,8/5/2022,,$44.62,Travel,,Apple Card,-$44.62,,,Apple Card
Ashley Homestore: Bedframe,8/5/2022,,$298.88,Furnishing,,Ashley,-$298.88,,,Ashley
American Freight: Couch,8/5/2022,,$855.99,Furnishing,,Paypal,-$855.99,,,Paypal
Couch Payment 1/4,8/6/2022,$214.00,$214.00,Furnishing,Paypal,Discover,$0.00,,,PaypalDiscover
Mattress Firm,8/6/2022,,$523.66,Furnishing,,Mattress Firm,-$523.66,,,Mattress Firm
McDonald’s,8/7/2022,,$12.03,Food,,Apple Card,-$12.03,,,Apple Card
Ariana Ice Cream Museum Gift,8/7/2022,$134.00,$224.10,Gift,Checking,Apple Card,-$90.10,,,CheckingApple Card
Bed Frame Tax Payment 1/7,8/7/2022,,$20.92,Furnishing,,Apple Card,-$20.92,,,Apple Card
Transfer to Checking,8/7/2022,$1500.00,$1500.00,Misc,Checking,Savings,$0.00,,,CheckingSavings
August Rent,8/7/2022,,$2305.13,Housing,,Checking,-$2305.13,,,Checking
August Parking,8/8/2022,,$285.00,Transportation,,Apple Card,-$285.00,,,Apple Card
U-Haul,8/9/2022,,$206.46,Housing,,Apple Card,-$206.46,,,Apple Card
Interest Paid,8/10/2022,$12.20,,Interest,Savings,,$12.20,,,Savings
Interest Paid,8/10/2022,$0.06,,Interest,Checking,,$0.06,,,Checking
M Spotify,8/10/2022,,$4.99,Entertainment,,M Discover,-$4.99,,,M Discover
U-Haul Gas,8/10/2022,,$72.13,Housing,,Apple Card,-$72.13,,,Apple Card
Dialators,8/11/2022,,$28.27,Health,,Apple Card,-$28.27,,,Apple Card
Router,8/12/2022,,$55.07,Tech,,Apple Card,-$55.07,,,Apple Card
"Walmart Kitchen Stock, Appliances",8/12/2022,,$254.57,Groceries,,Apple Card,-$254.57,,,Apple Card
"IKEA Desk, Side Table",8/12/2022,,$169.21,Furnishing,,Apple Card,-$169.21,,,Apple Card
Amazon Bookshelf 2,8/12/2022,,$76.06,Furnishing,,Apple Card,-$76.06,,,Apple Card
Amazon Bookshelf 1,8/12/2022,,$76.06,Furnishing,,M Discover,-$76.06,,,M Discover
Amazon TV Stand,8/12/2022,,$100.57,Furnishing,,M Discover,-$100.57,,,M Discover
Amazon Pot Holders,8/12/2022,,$17.63,Furnishing,,M Discover,-$17.63,,,M Discover
Chicago Gas,8/13/2022,,$44.21,Transportation,,Apple Card,-$44.21,,,Apple Card
ALDI Groceries,8/13/2022,,$221.26,Groceries,,Apple Card,-$221.26,,,Apple Card
Urban Light Tithe,8/13/2022,,$40.00,Groceries,,Discover,-$40.00,,,Discover
⏰ Couch Payment 2/4,8/20/2022,$0.00,$0.00,Furnishing,Paypal,Discover,$0.00,,,PaypalDiscover
⏰ Bonus Paycheck,8/31/2022,$0.00,,,Savings,,$0.00,,,Savings
⏰ September Rent Atwater,9/1/2022,$2909.00,$2909.00,Housing,Savings,Savings,$0.00,,,SavingsSavings
⏰ TODO: Bed Frame Tax Payment 2/7,9/3/2022,$0.00,$0.00,Misc,Ashley,Checking,$0.00,,,AshleyChecking
⏰ TODO: Mattress Payment 1/6,9/3/2022,$0.00,$0.00,Misc,Mattress Firm,Checking,$0.00,,,Mattress FirmChecking
⏰ Couch Payment 3/4,9/4/2022,$0.00,$0.00,Furnishing,Paypal,Discover,$0.00,,,PaypalDiscover
September Paycheck 1,9/15/2022,$0.00,,,Savings,,$0.00,,,Savings
⏰ Couch Payment 4/4,9/19/2022,$0.00,$0.00,Furnishing,Paypal,Discover,$0.00,,,PaypalDiscover
September Paycheck 2,9/30/2022,$0.00,,,Savings,,$0.00,,,Savings
October Paycheck 1,10/15/2022,$0.00,,,Savings,,$0.00,,,Savings
⏰ TODO: Bed Frame Tax Payment 3/7,11/15/2022,$0.00,$0.00,Misc,Ashley,Checking,$0.00,,,AshleyChecking
October Paycheck 2,10/31/2022,$0.00,,,Savings,,$0.00,,,Savings
November Paycheck 1,11/15/2022,$0.00,,,Savings,,$0.00,,,Savings
⏰ TODO: Mattress Payment 2/6,12/16/2022,$0.00,$0.00,Misc,Mattress Firm,Checking,$0.00,,,Mattress FirmChecking
November Paycheck 2,11/30/2022,$0.00,,,Savings,,$0.00,,,Savings
⏰ Graeson Wedding Suit,12/4/2022,$229.99,$229.99,Gift,Apple Card,Apple Card,$0.00,,,Apple CardApple Card
December Paycheck 1,12/15/2022,$0.00,,,Savings,,$0.00,,,Savings
December Paycheck 2,12/31/2022,$0.00,,,Savings,,$0.00,,,Savings
⏰ TODO: Bed Frame Tax Payment 4/7,1/31/2023,$0.00,$0.00,Misc,Ashley,Checking,$0.00,,,AshleyChecking
⏰ TODO: Bed Frame Tax Payment 5/7,3/3/2023,$0.00,$0.00,Misc,Ashley,Checking,$0.00,,,AshleyChecking
⏰ TODO: Mattress Payment 3/6,4/3/2023,$0.00,$0.00,Misc,Mattress Firm,Checking,$0.00,,,Mattress FirmChecking
⏰ TODO: Mattress Payment 4/6,5/4/2023,$0.00,$0.00,Misc,Mattress Firm,Checking,$0.00,,,Mattress FirmChecking
⏰ TODO: Bed Frame Tax Payment 6/7,6/4/2023,$0.00,$0.00,Misc,Ashley,Checking,$0.00,,,AshleyChecking
⏰ TODO: Mattress Payment 5/6,7/5/2023,$0.00,$0.00,Misc,Mattress Firm,Checking,$0.00,,,Mattress FirmChecking
⏰ TODO: Bed Frame Tax Payment 6/7,8/5/2023,$0.00,$0.00,Misc,Ashley,Checking,$0.00,,,AshleyChecking
⏰ TODO: Mattress Payment 6/6,9/5/2023,$0.00,$0.00,Misc,Mattress Firm,Checking,$0.00,,,Mattress FirmChecking
Apple Card Rewards,8/13/2022,$58.24,,Rewards,Checking,,$58.24,,,Checking
Apple Card Payment,8/13/2022,$2181.32,$2181.32,Misc,Apple Card,Savings,$0.00,,,Apple CardSavings
Discover Payment,8/13/2022,$298.61,$298.61,Misc,Discover,Savings,$0.00,,,DiscoverSavings
